"rownames"	"log2FoldChange_D2"	"pvalue_D2"	"padj_D2"	"sig_D2"	"sigadj_D2"	"TDE_D2"	"logFC_ER"	"PValue_ER"	"FDR_ER"	"sig_ER"	"sigadj_ER"	"TDE_ER"	"color"
"AB_000588_T.1"	"AB_000588_T.1"	7.2575197986584	2.7149782105394e-07	0.00265556608169819	6.56623365155597	2.57584288702971	TRUE	-7.95700618061047	2.24804173677705e-07	0.00314245391078674	6.64819562998745	2.50273108323239	TRUE	"Col_1"
"AB_015092_T.1"	"AB_015092_T.1"	1.61419751566599	5.93037888609372e-06	0.020539597709309	5.22691755910062	1.68740806679221	TRUE	-1.62068935337361	2.36333246310377e-06	0.0128263961103799	5.62647517945308	1.89189535213936	TRUE	"Col_1"
"AB_018867_T.1"	"AB_018867_T.1"	1.30224007688993	2.18257680072744e-05	0.0442993468104169	4.66103046535651	1.35360267735984	TRUE	-1.31040492696649	1.57305653719239e-05	0.0489404300283992	4.80325566812724	1.31033221892088	TRUE	"Col_1"
"AB_027319_T.1"	"AB_027319_T.1"	-23.1043461022233	2.29499041880821e-14	8.74345449757552e-10	13.639219123228	9.05831694576135	TRUE	9.66552311625233	8.35283467239579e-06	0.03022194798384	5.07816611449703	1.51967754623898	TRUE	"Col_1"
"AB_029013_T.1"	"AB_029013_T.1"	-1.37162170053804	1.27525712385779e-06	0.00607309323809176	5.89440224172856	2.21659005125387	TRUE	1.36564748866478	1.64996948761343e-06	0.0119397292022	5.7825240869883	1.92300552306627	TRUE	"Col_1"
"AB_029334_T.1"	"AB_029334_T.1"	-1.18733068944007	9.1978567958214e-07	0.00500599926010291	6.0363133563698	2.30050921891742	TRUE	1.18548964871075	3.71717584171652e-06	0.0161392340695648	5.42978689403452	1.79211707972885	TRUE	"Col_1"
"AB_035458_T.1"	"AB_035458_T.1"	-2.8306089893818	4.72051574473893e-07	0.00359684417686127	6.32601054948924	2.44407837635862	TRUE	2.8183510779154	1.01652820601761e-06	0.00882712432977452	5.99288056631482	2.05418075634517	TRUE	"Col_1"
"AB_036475_T.1"	"AB_036475_T.1"	1.43751111741009	2.7881422454703e-07	0.00265556608169819	6.55468507316838	2.57584288702971	TRUE	-1.4452579447213	2.89507016517273e-07	0.00314245391078674	6.5383409062101	2.50273108323239	TRUE	"Col_1"
"AB_038562_T.1"	"AB_038562_T.1"	-7.54921661764677	1.72602274501844e-07	0.00265556608169819	6.76295348557856	2.57584288702971	TRUE	8.02058856863904	1.37247715977103e-07	0.00314245391078674	6.86249487417692	2.50273108323239	TRUE	"Col_1"
"AB_038616_T.1"	"AB_038616_T.1"	-4.95152740138291	4.43587189754025e-06	0.0168997847552488	5.35302100422592	1.77211882675929	TRUE	4.92188416379991	2.82027104352857e-07	0.00314245391078674	6.5497091515912	2.50273108323239	TRUE	"Col_1"
"AB_045531_T.1"	"AB_045531_T.1"	4.45039488661799	1.78023899762997e-06	0.00753594948130074	5.74952168961004	2.12286202158273	TRUE	-4.40620421353019	4.18381546782258e-06	0.0165138999983564	5.37842747879511	1.78215034964767	TRUE	"Col_1"
