"logFC"	"logCPM"	"PValue"	"FDR"
"AB_043005_T.1"	-3.5308311668002	3.64160567605616	2.77403668741277e-12	1.18329308938279e-07
"AB_000610_T.1"	-3.02719090141973	2.69987794945343	2.97677293790988e-09	6.3488613219742e-05
"AB_001483_T.1"	2.04519228163188	5.17850445745911	1.30462793336789e-08	0.000185500697085802
"AB_008960_T.1"	5.1529650972756	2.00342887280555	3.24959142934037e-08	0.000346536430024857
"AB_030813_T.1"	-10.3477629665556	4.53565872789058	7.43119139201758e-08	0.000633969800035803
"AB_022453_T.1"	-6.36205697809558	4.10560985995235	9.40314605507531e-08	0.000666906141042382
"AB_010244_T.1"	-7.00433791191174	0.557474927783113	1.0944164917706e-07	0.000666906141042382
"AB_030668_T.1"	10.3919486045449	1.21785194654104	4.0935537951234e-07	0.0021826828835598
"AB_021997_T.1"	-2.96525905585063	3.79669021313672	5.47821171136898e-07	0.00259642887511283
"AB_000071_T.1"	6.13376893159912	1.5244086022505	6.19676484559491e-07	0.00264329201253696
"AB_028624_T.1"	-1.7814491231915	4.63023360063573	1.64962119562173e-06	0.00639693106549461
"AB_028089_T.1"	1.91186493956097	4.03287754829192	2.31287727437572e-06	0.00822150775131422
"AB_022205_T.1"	-5.80140832834007	2.82542892297113	2.86151732934462e-06	0.00938929870773261
"AB_022256_T.1"	-4.56106444649754	1.30901756835854	3.80787379275028e-06	0.0115465242676187
"AB_013716_T.1"	-3.50667959517231	0.982646048215534	4.06034002284041e-06	0.0115465242676187
"AB_013152_T.1"	-1.81151927130079	3.97118115803247	4.3721242343897e-06	0.0116560832088829
"AB_015079_T.1"	-1.71527140769391	6.86338708507504	4.95213381802403e-06	0.0124257776553902
"AB_031334_T.1"	-1.71510611669927	4.49750330382072	6.48490936932049e-06	0.0153677941143186
"AB_029470_T.1"	3.46688230160934	3.34665989347781	9.0836476997369e-06	0.0203932671726304
"AB_020437_T.1"	-1.71020143024813	4.35722990381976	1.01702917111835e-05	0.0216911981616121
"AB_040533_T.1"	-5.75257671484647	-1.76641243304221	1.18682644683617e-05	0.0234669884030378
"AB_000596_T.1"	-2.85864528457805	0.926008553031312	1.21031916932397e-05	0.0234669884030378
"AB_025629_T.1"	-5.2908500323625	0.730729400506669	1.3621855759899e-05	0.0248471530766613
"AB_000811_T.1"	1.97204813485285	4.47615036479522	1.39800186102745e-05	0.0248471530766613
"AB_002147_T.1"	-2.89565326355269	1.61314959009937	1.51868023030392e-05	0.0259123295615376
"AB_018867_T.1"	1.44887159155411	5.16408205713112	1.62023250853504e-05	0.0265817838015657
"AB_013119_T.1"	-1.40409088215787	9.32369504330545	2.44613205902706e-05	0.0386452626332809
"AB_033713_T.1"	-6.08980513294858	4.65113070651085	2.54802725758622e-05	0.0388173752498564
"AB_039330_T.1"	-1.57820527451028	5.86577378055488	2.774532424485e-05	0.0408105017582179
